location,vaccine,source_url,date,total_vaccinations,people_vaccinated,people_fully_vaccinated
Cayman Islands,Pfizer/BioNTech,https://www.caymancompass.com/2021/01/25/vaccinations-move-to-stage-2-this-week/,2020-12-26,0,0,0
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-04,11008,7811,3197
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-09,13609,8839,4770
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-10,14086,8912,5174
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-12,15543,9172,6371
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-17,16725,9783,6942
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-19,17285,10277,7008
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-20,18159,10521,7638
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-23,19938,12245,7693
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-24,20468,12710,7758
Cayman Islands,Pfizer/BioNTech,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-02-25,21106,,
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard,2021-03-03,24008,,
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-news,2021-03-05,26580,17702,8878
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-news,2021-03-12,31980,21864,10116
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-16,35984,24366,11648
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-18,38304,25957,12347
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-19,39145,26321,12824
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-22,41155,27611,13544
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-24,43023,28248,14775
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-25,44061,28605,15456
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-29,47602,29644,17958
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-03-31,49561,30476,19085
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-01,50763,30607,20156
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-07,53474,31302,22172
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-08,55053,31459,23594
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-09,56214,31661,24553
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-13,59473,32969,26504
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-15,60637,33544,27093
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-16,61114,33808,27306
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-20,63350,34614,28736
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-21,63774,34786,28988
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-04-30,65694,35774,29920
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-05,69573,37062,
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-07,69772,37470,32302
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-13,73258,39493,33666
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-14,73721,39792,33921
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-19,75284,40778,34305
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-25,78622,42521,36101
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-26,79344,42790,36554
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-05-28,80120,43235,36885
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-02,83221,44691,38530
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-03,83970,45195,38775
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-05,84856,45766,39090
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-08,86711,46928,39090
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-17,87517,47001,40527
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-21,88911,47061,41949
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-22,89619,47419,41949
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-24,90323,47633,42660
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-25,90848,47802,43371
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-28,93098,48262,44793
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-06-30,93525,48418,44793
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-01,93652,48464,45504
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-02,93748,48493,45504
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-06,94093,48665,45504
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-07,94205,48722,45504
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-08,94277,48764,45504
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-12,94633,48942,45504
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-14,95136,49050,46215
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-15,95501,49141,46360
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-19,96082,49316,46766
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-21,96331,49403,46928
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-22,96439,49444,46995
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-23,96518,49474,47044
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-27,96993,49672,47321
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-29,97196,49785,47411
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-07-30,97707,49960,47747
Cayman Islands,"Oxford/AstraZeneca, Pfizer/BioNTech",https://www.exploregov.ky/coronavirus-statistics,2021-08-02,98117,50171,47946
